longitude,utc,grades_from_north,_RAW,valid,speed,timestamp,latitude,identifier
-70.69261551666666,215941.00,190.005,"$GPVTG,190.005,T,190.005,M,9.913,N,18.359,K,A*17",1,18.359,1519765308.407178,-33.98903111833334,011
-70.69262808666667,215942.10,193.576,"$GPVTG,193.576,T,193.576,M,9.900,N,18.335,K,A*1F",1,18.335,1519765309.463191,-33.98907971,011
-70.692643145,215943.20,194.481,"$GPGSV,4,4,13,08,04,360,*42",1,18.355,1519765310.507344,-33.989128215,011
-70.69266968166667,215945.10,195.540,"$GPVTG,195.540,T,195.540,M,9.871,N,18.280,K,A*17",1,18.280,1519765312.700855,-33.989212655,011
-70.69267801833334,215945.70,194.575,"$GPGGA,215945.70,3359.3543551,S,07041.5606811,W,1,10,1.0,484.056,M,29.50,M,,*5C",1,18.451,1519765313.7163,-33.98923925166667,011
-70.69269254833333,215946.80,193.688,"$GPGGA,215946.80,3359.3573110,S,07041.5615529,W,1,10,1.0,484.046,M,29.50,M,,*57",1,18.463,1519765314.767352,-33.98928851666667,011
-70.69270816333334,215948.10,190.134,"$GPGGA,215948.10,3359.3608046,S,07041.5624898,W,1,10,1.0,484.123,M,29.50,M,,*5A",1,18.324,1519765315.91746,-33.989346743333336,011
-70.69271693833333,215948.90,191.511,"$GPVTG,191.511,T,191.511,M,9.766,N,18.086,K,A*1A",1,18.086,1519765316.962243,-33.989382488333334,011
-70.69273688666667,215950.30,194.858,"$GPVTG,194.858,T,194.858,M,9.523,N,17.637,K,A*1A",1,17.637,1519765318.867197,-33.98944298166667,011
-70.69274467666666,215950.90,193.265,"$GPVTG,193.265,T,193.265,M,9.380,N,17.372,K,A*11",1,17.372,1519765319.874818,-33.989468045,011
-70.69276568333333,215952.80,189.722,"$GPVTG,189.722,T,189.722,M,9.233,N,17.100,K,A*1F",1,17.100,1519765320.889095,-33.989548316666664,011
-70.69278012,215954.50,188.577,"$GPGGA,215954.50,3359.3772435,S,07041.5668072,W,1,10,1.0,484.398,M,29.50,M,,*59",1,17.451,1519765321.913173,-33.989620725,011
-70.69278828333333,215955.60,187.611,"$GPGGA,215955.60,3359.3800714,S,07041.5672970,W,1,10,1.0,484.401,M,29.50,M,,*56",1,17.566,1519765322.94249,-33.989667856666664,011
-70.69279214,215956.60,180.636,"$GPVTG,180.636,T,180.636,M,9.276,N,17.178,K,A*11",1,17.178,1519765323.966544,-33.989710585,011
-70.69278791333333,215957.70,173.456,"$GPGGA,215957.70,3359.3854365,S,07041.5672748,W,1,10,1.0,484.457,M,29.50,M,,*50",1,16.811,1519765324.992606,-33.989757275,011
-70.69277846,215958.50,162.986,"$GPVTG,162.986,T,162.986,M,8.990,N,16.649,K,A*17",1,16.649,1519765326.088883,-33.989789545,011
-70.692748065,215959.90,150.021,"$GPVTG,150.021,T,150.021,M,9.123,N,16.895,K,A*19",1,16.895,1519765327.178266,-33.98984219333333,011
-70.69272126166666,220000.90,147.203,"$GPGGA,220000.90,3359.3926751,S,07041.5632757,W,1,10,1.0,484.513,M,29.50,M,,*5F",1,16.791,1519765328.234747,-33.989877918333335,011
